DATAFLOW,REF_AREA:Country,INDICATOR:Indicator,SEX:Sex,WEALTH_QUINTILE:Wealth Quintile,TIME_PERIOD:Time period,OBS_VALUE:Observation Value,DATA_SOURCE:Data Source,COUNTRY_NOTES:Country notes,REF_PERIOD:Reference Period,UNIT_MEASURE:Unit of measure,LOWER_BOUND:Lower Bound,UPPER_BOUND:Upper Bound,OBS_STATUS:Observation Status
UNICEF:CME(1.0): Child Mortality,AGO: Angola,CME_MRY1T4: Child mortality rate (aged 1-4 years),F: Female,_T: Total,2014,33.57228328,UN_IGME,,,D_PER_1000_1: Deaths per 1000 children aged 1,15.04328341,62.06029793,A: Normal value
UNICEF:CME(1.0): Child Mortality,AGO: Angola,CME_MRY1T4: Child mortality rate (aged 1-4 years),F: Female,_T: Total,2015,31.31299141,UN_IGME,,,D_PER_1000_1: Deaths per 1000 children aged 1,12.91746171,60.69216194,A: Normal value
UNICEF:CME(1.0): Child Mortality,AGO: Angola,CME_MRY1T4: Child mortality rate (aged 1-4 years),F: Female,_T: Total,2016,29.44658321,UN_IGME,,,D_PER_1000_1: Deaths per 1000 children aged 1,11.18974877,59.02304214,A: Normal value
UNICEF:CME(1.0): Child Mortality,AGO: Angola,CME_MRY1T4: Child mortality rate (aged 1-4 years),F: Female,_T: Total,2017,27.77022492,UN_IGME,,,D_PER_1000_1: Deaths per 1000 children aged 1,10.07786396,57.59075281,A: Normal value
UNICEF:CME(1.0): Child Mortality,AGO: Angola,CME_MRY1T4: Child mortality rate (aged 1-4 years),F: Female,_T: Total,2018,26.34922452,UN_IGME,,,D_PER_1000_1: Deaths per 1000 children aged 1,8.991336292,56.31421727,A: Normal value
UNICEF:CME(1.0): Child Mortality,AGO: Angola,CME_MRY1T4: Child mortality rate (aged 1-4 years),F: Female,_T: Total,2019,25.09173685,UN_IGME,,,D_PER_1000_1: Deaths per 1000 children aged 1,8.139955555,55.32300254,A: Normal value
UNICEF:CME(1.0): Child Mortality,AGO: Angola,CME_MRY1T4: Child mortality rate (aged 1-4 years),M: Male,_T: Total,2009,53.54586851,UN_IGME,,,D_PER_1000_1: Deaths per 1000 children aged 1,35.55157575,78.33292101,A: Normal value
UNICEF:CME(1.0): Child Mortality,AGO: Angola,CME_MRY1T4: Child mortality rate (aged 1-4 years),M: Male,_T: Total,2010,49.15883536,UN_IGME,,,D_PER_1000_1: Deaths per 1000 children aged 1,30.34189742,75.62255964,A: Normal value
UNICEF:CME(1.0): Child Mortality,AGO: Angola,CME_MRY1T4: Child mortality rate (aged 1-4 years),M: Male,_T: Total,2011,45.14220646,UN_IGME,,,D_PER_1000_1: Deaths per 1000 children aged 1,25.56938088,73.3993103,A: Normal value
UNICEF:CME(1.0): Child Mortality,AGO: Angola,CME_MRY1T4: Child mortality rate (aged 1-4 years),M: Male,_T: Total,2012,41.37469585,UN_IGME,,,D_PER_1000_1: Deaths per 1000 children aged 1,21.28099397,71.26683978,A: Normal value
UNICEF:CME(1.0): Child Mortality,AGO: Angola,CME_MRY1T4: Child mortality rate (aged 1-4 years),M: Male,_T: Total,2013,38.11959113,UN_IGME,,,D_PER_1000_1: Deaths per 1000 children aged 1,17.73315953,69.58198195,A: Normal value
UNICEF:CME(1.0): Child Mortality,AGO: Angola,CME_MRY1T4: Child mortality rate (aged 1-4 years),M: Male,_T: Total,2014,35.47578005,UN_IGME,,,D_PER_1000_1: Deaths per 1000 children aged 1,15.12252692,67.76627223,A: Normal value
UNICEF:CME(1.0): Child Mortality,AGO: Angola,CME_MRY1T4: Child mortality rate (aged 1-4 years),M: Male,_T: Total,2015,33.17246806,UN_IGME,,,D_PER_1000_1: Deaths per 1000 children aged 1,12.84838216,66.16924075,A: Normal value
UNICEF:CME(1.0): Child Mortality,AGO: Angola,CME_MRY1T4: Child mortality rate (aged 1-4 years),M: Male,_T: Total,2016,31.23908897,UN_IGME,,,D_PER_1000_1: Deaths per 1000 children aged 1,11.19874528,64.56980682,A: Normal value
UNICEF:CME(1.0): Child Mortality,AGO: Angola,CME_MRY1T4: Child mortality rate (aged 1-4 years),M: Male,_T: Total,2017,29.57325377,UN_IGME,,,D_PER_1000_1: Deaths per 1000 children aged 1,9.881793555,62.924088,A: Normal value
UNICEF:CME(1.0): Child Mortality,AGO: Angola,CME_MRY1T4: Child mortality rate (aged 1-4 years),M: Male,_T: Total,2018,27.99186799,UN_IGME,,,D_PER_1000_1: Deaths per 1000 children aged 1,8.912826423,61.73625005,A: Normal value
UNICEF:CME(1.0): Child Mortality,AGO: Angola,CME_MRY1T4: Child mortality rate (aged 1-4 years),M: Male,_T: Total,2019,26.62670553,UN_IGME,,,D_PER_1000_1: Deaths per 1000 children aged 1,7.975015124,60.73958907,A: Normal value
UNICEF:CME(1.0): Child Mortality,ALB: Albania,CME_MRY1T4: Child mortality rate (aged 1-4 years),F: Female,_T: Total,2009,1.763993815,UN_IGME,,,D_PER_1000_1: Deaths per 1000 children aged 1,1.660642064,1.852217718,A: Normal value
UNICEF:CME(1.0): Child Mortality,ALB: Albania,CME_MRY1T4: Child mortality rate (aged 1-4 years),F: Female,_T: Total,2010,1.605161837,UN_IGME,,,D_PER_1000_1: Deaths per 1000 children aged 1,1.512175044,1.685172355,A: Normal value
UNICEF:CME(1.0): Child Mortality,ALB: Albania,CME_MRY1T4: Child mortality rate (aged 1-4 years),F: Female,_T: Total,2011,1.48188312,UN_IGME,,,D_PER_1000_1: Deaths per 1000 children aged 1,1.395053781,1.557395089,A: Normal value
UNICEF:CME(1.0): Child Mortality,ALB: Albania,CME_MRY1T4: Child mortality rate (aged 1-4 years),F: Female,_T: Total,2012,1.370683039,UN_IGME,,,D_PER_1000_1: Deaths per 1000 children aged 1,1.290108672,1.441277421,A: Normal value
UNICEF:CME(1.0): Child Mortality,ALB: Albania,CME_MRY1T4: Child mortality rate (aged 1-4 years),F: Female,_T: Total,2013,1.278132928,UN_IGME,,,D_PER_1000_1: Deaths per 1000 children aged 1,1.201928972,1.346367123,A: Normal value
UNICEF:CME(1.0): Child Mortality,ALB: Albania,CME_MRY1T4: Child mortality rate (aged 1-4 years),F: Female,_T: Total,2014,1.225827014,UN_IGME,,,D_PER_1000_1: Deaths per 1000 children aged 1,1.15003123,1.293427731,A: Normal value
UNICEF:CME(1.0): Child Mortality,ALB: Albania,CME_MRY1T4: Child mortality rate (aged 1-4 years),F: Female,_T: Total,2015,1.191985788,UN_IGME,,,D_PER_1000_1: Deaths per 1000 children aged 1,1.116244688,1.260352365,A: Normal value
UNICEF:CME(1.0): Child Mortality,ALB: Albania,CME_MRY1T4: Child mortality rate (aged 1-4 years),F: Female,_T: Total,2016,1.156341791,UN_IGME,,,D_PER_1000_1: Deaths per 1000 children aged 1,1.085279886,1.220820302,A: Normal value
UNICEF:CME(1.0): Child Mortality,ALB: Albania,CME_MRY1T4: Child mortality rate (aged 1-4 years),F: Female,_T: Total,2017,1.156031326,UN_IGME,,,D_PER_1000_1: Deaths per 1000 children aged 1,1.081845415,1.224150222,A: Normal value
UNICEF:CME(1.0): Child Mortality,ALB: Albania,CME_MRY1T4: Child mortality rate (aged 1-4 years),F: Female,_T: Total,2018,1.165609411,UN_IGME,,,D_PER_1000_1: Deaths per 1000 children aged 1,1.084827419,1.241532768,A: Normal value
UNICEF:CME(1.0): Child Mortality,ALB: Albania,CME_MRY1T4: Child mortality rate (aged 1-4 years),F: Female,_T: Total,2019,1.200399005,UN_IGME,,,D_PER_1000_1: Deaths per 1000 children aged 1,1.101998593,1.29648064,A: Normal value
UNICEF:CME(1.0): Child Mortality,ALB: Albania,CME_MRY1T4: Child mortality rate (aged 1-4 years),M: Male,_T: Total,2009,1.365357975,UN_IGME,,,D_PER_1000_1: Deaths per 1000 children aged 1,1.291462176,1.462633048,A: Normal value
UNICEF:CME(1.0): Child Mortality,ALB: Albania,CME_MRY1T4: Child mortality rate (aged 1-4 years),M: Male,_T: Total,2010,1.274666344,UN_IGME,,,D_PER_1000_1: Deaths per 1000 children aged 1,1.208655654,1.361021115,A: Normal value
UNICEF:CME(1.0): Child Mortality,ALB: Albania,CME_MRY1T4: Child mortality rate (aged 1-4 years),M: Male,_T: Total,2011,1.180647756,UN_IGME,,,D_PER_1000_1: Deaths per 1000 children aged 1,1.118522355,1.262261234,A: Normal value
UNICEF:CME(1.0): Child Mortality,ALB: Albania,CME_MRY1T4: Child mortality rate (aged 1-4 years),M: Male,_T: Total,2012,1.102882394,UN_IGME,,,D_PER_1000_1: Deaths per 1000 children aged 1,1.044463574,1.179648756,A: Normal value
UNICEF:CME(1.0): Child Mortality,ALB: Albania,CME_MRY1T4: Child mortality rate (aged 1-4 years),M: Male,_T: Total,2013,1.040425165,UN_IGME,,,D_PER_1000_1: Deaths per 1000 children aged 1,0.983350888,1.113593046,A: Normal value
UNICEF:CME(1.0): Child Mortality,ALB: Albania,CME_MRY1T4: Child mortality rate (aged 1-4 years),M: Male,_T: Total,2014,0.979868823,UN_IGME,,,D_PER_1000_1: Deaths per 1000 children aged 1,0.922046514,1.052000177,A: Normal value
UNICEF:CME(1.0): Child Mortality,ALB: Albania,CME_MRY1T4: Child mortality rate (aged 1-4 years),M: Male,_T: Total,2015,0.942927625,UN_IGME,,,D_PER_1000_1: Deaths per 1000 children aged 1,0.884807077,1.01485762,A: Normal value
UNICEF:CME(1.0): Child Mortality,ALB: Albania,CME_MRY1T4: Child mortality rate (aged 1-4 years),M: Male,_T: Total,2016,0.946906293,UN_IGME,,,D_PER_1000_1: Deaths per 1000 children aged 1,0.889937771,1.014151438,A: Normal value
UNICEF:CME(1.0): Child Mortality,ALB: Albania,CME_MRY1T4: Child mortality rate (aged 1-4 years),M: Male,_T: Total,2017,0.947348585,UN_IGME,,,D_PER_1000_1: Deaths per 1000 children aged 1,0.889077631,1.015416381,A: Normal value
UNICEF:CME(1.0): Child Mortality,ALB: Albania,CME_MRY1T4: Child mortality rate (aged 1-4 years),M: Male,_T: Total,2018,0.959907899,UN_IGME,,,D_PER_1000_1: Deaths per 1000 children aged 1,0.895666119,1.035924614,A: Normal value
UNICEF:CME(1.0): Child Mortality,ALB: Albania,CME_MRY1T4: Child mortality rate (aged 1-4 years),M: Male,_T: Total,2019,0.958486126,UN_IGME,,,D_PER_1000_1: Deaths per 1000 children aged 1,0.880994482,1.04830898,A: Normal value
UNICEF:CME(1.0): Child Mortality,AND: Andorra,CME_MRY1T4: Child mortality rate (aged 1-4 years),F: Female,_T: Total,2009,0.295796485,UN_IGME,,,D_PER_1000_1: Deaths per 1000 children aged 1,0.1471445,0.593883094,A: Normal value
UNICEF:CME(1.0): Child Mortality,AND: Andorra,CME_MRY1T4: Child mortality rate (aged 1-4 years),F: Female,_T: Total,2010,0.268385634,UN_IGME,,,D_PER_1000_1: Deaths per 1000 children aged 1,0.127527049,0.567464906,A: Normal value
UNICEF:CME(1.0): Child Mortality,AND: Andorra,CME_MRY1T4: Child mortality rate (aged 1-4 years),F: Female,_T: Total,2011,0.214469708,UN_IGME,,,D_PER_1000_1: Deaths per 1000 children aged 1,0.096247622,0.485419989,A: Normal value
UNICEF:CME(1.0): Child Mortality,AND: Andorra,CME_MRY1T4: Child mortality rate (aged 1-4 years),F: Female,_T: Total,2012,0.21380021,UN_IGME,,,D_PER_1000_1: Deaths per 1000 children aged 1,0.090641328,0.511130138,A: Normal value
UNICEF:CME(1.0): Child Mortality,AND: Andorra,CME_MRY1T4: Child mortality rate (aged 1-4 years),F: Female,_T: Total,2013,0.18518464,UN_IGME,,,D_PER_1000_1: Deaths per 1000 children aged 1,0.073192468,0.480131081,A: Normal value
UNICEF:CME(1.0): Child Mortality,AND: Andorra,CME_MRY1T4: Child mortality rate (aged 1-4 years),F: Female,_T: Total,2014,0.158205428,UN_IGME,,,D_PER_1000_1: Deaths per 1000 children aged 1,0.058131036,0.444841099,A: Normal value
UNICEF:CME(1.0): Child Mortality,AND: Andorra,CME_MRY1T4: Child mortality rate (aged 1-4 years),F: Female,_T: Total,2015,0.137113559,UN_IGME,,,D_PER_1000_1: Deaths per 1000 children aged 1,0.04717186,0.414995687,A: Normal value
UNICEF:CME(1.0): Child Mortality,AND: Andorra,CME_MRY1T4: Child mortality rate (aged 1-4 years),F: Female,_T: Total,2016,0.120321696,UN_IGME,,,D_PER_1000_1: Deaths per 1000 children aged 1,0.038870804,0.393389811,A: Normal value
UNICEF:CME(1.0): Child Mortality,AND: Andorra,CME_MRY1T4: Child mortality rate (aged 1-4 years),F: Female,_T: Total,2017,0.122939227,UN_IGME,,,D_PER_1000_1: Deaths per 1000 children aged 1,0.03788462,0.420809875,A: Normal value
UNICEF:CME(1.0): Child Mortality,AND: Andorra,CME_MRY1T4: Child mortality rate (aged 1-4 years),F: Female,_T: Total,2018,0.098226023,UN_IGME,,,D_PER_1000_1: Deaths per 1000 children aged 1,0.028808475,0.354132258,A: Normal value
UNICEF:CME(1.0): Child Mortality,AND: Andorra,CME_MRY1T4: Child mortality rate (aged 1-4 years),F: Female,_T: Total,2019,0.090103248,UN_IGME,,,D_PER_1000_1: Deaths per 1000 children aged 1,0.025561686,0.337871396,A: Normal value
UNICEF:CME(1.0): Child Mortality,AND: Andorra,CME_MRY1T4: Child mortality rate (aged 1-4 years),M: Male,_T: Total,2009,0.495112604,UN_IGME,,,D_PER_1000_1: Deaths per 1000 children aged 1,0.24809015,0.990626614,A: Normal value
UNICEF:CME(1.0): Child Mortality,AND: Andorra,CME_MRY1T4: Child mortality rate (aged 1-4 years),M: Male,_T: Total,2010,0.429157143,UN_IGME,,,D_PER_1000_1: Deaths per 1000 children aged 1,0.204623242,0.907500545,A: Normal value
UNICEF:CME(1.0): Child Mortality,AND: Andorra,CME_MRY1T4: Child mortality rate (aged 1-4 years),M: Male,_T: Total,2011,0.396649562,UN_IGME,,,D_PER_1000_1: Deaths per 1000 children aged 1,0.179661443,0.89441561,A: Normal value
UNICEF:CME(1.0): Child Mortality,AND: Andorra,CME_MRY1T4: Child mortality rate (aged 1-4 years),M: Male,_T: Total,2012,0.328482618,UN_IGME,,,D_PER_1000_1: Deaths per 1000 children aged 1,0.140865064,0.790499634,A: Normal value
UNICEF:CME(1.0): Child Mortality,AND: Andorra,CME_MRY1T4: Child mortality rate (aged 1-4 years),M: Male,_T: Total,2013,0.29533752,UN_IGME,,,D_PER_1000_1: Deaths per 1000 children aged 1,0.11795884,0.761354555,A: Normal value
UNICEF:CME(1.0): Child Mortality,AND: Andorra,CME_MRY1T4: Child mortality rate (aged 1-4 years),M: Male,_T: Total,2014,0.262164488,UN_IGME,,,D_PER_1000_1: Deaths per 1000 children aged 1,0.098096689,0.733842169,A: Normal value
UNICEF:CME(1.0): Child Mortality,AND: Andorra,CME_MRY1T4: Child mortality rate (aged 1-4 years),M: Male,_T: Total,2015,0.23646269,UN_IGME,,,D_PER_1000_1: Deaths per 1000 children aged 1,0.082248783,0.715451264,A: Normal value
UNICEF:CME(1.0): Child Mortality,AND: Andorra,CME_MRY1T4: Child mortality rate (aged 1-4 years),M: Male,_T: Total,2016,0.215419081,UN_IGME,,,D_PER_1000_1: Deaths per 1000 children aged 1,0.069946056,0.694973231,A: Normal value
UNICEF:CME(1.0): Child Mortality,AND: Andorra,CME_MRY1T4: Child mortality rate (aged 1-4 years),M: Male,_T: Total,2017,0.184278139,UN_IGME,,,D_PER_1000_1: Deaths per 1000 children aged 1,0.056764459,0.636367767,A: Normal value
UNICEF:CME(1.0): Child Mortality,AND: Andorra,CME_MRY1T4: Child mortality rate (aged 1-4 years),M: Male,_T: Total,2018,0.188261863,UN_IGME,,,D_PER_1000_1: Deaths per 1000 children aged 1,0.055309164,0.687504653,A: Normal value
UNICEF:CME(1.0): Child Mortality,AND: Andorra,CME_MRY1T4: Child mortality rate (aged 1-4 years),M: Male,_T: Total,2019,0.178053835,UN_IGME,,,D_PER_1000_1: Deaths per 1000 children aged 1,0.050604746,0.672691376,A: Normal value
UNICEF:CME(1.0): Child Mortality,ARE: United Arab Emirates,CME_MRY1T4: Child mortality rate (aged 1-4 years),F: Female,_T: Total,2009,1.136056868,UN_IGME,,,D_PER_1000_1: Deaths per 1000 children aged 1,1.076595603,1.197819177,A: Normal value
UNICEF:CME(1.0): Child Mortality,ARE: United Arab Emirates,CME_MRY1T4: Child mortality rate (aged 1-4 years),F: Female,_T: Total,2010,1.106843469,UN_IGME,,,D_PER_1000_1: Deaths per 1000 children aged 1,1.053174139,1.163551908,A: Normal value
UNICEF:CME(1.0): Child Mortality,ARE: United Arab Emirates,CME_MRY1T4: Child mortality rate (aged 1-4 years),F: Female,_T: Total,2011,1.083535727,UN_IGME,,,D_PER_1000_1: Deaths per 1000 children aged 1,1.030415924,1.138954832,A: Normal value
UNICEF:CME(1.0): Child Mortality,ARE: United Arab Emirates,CME_MRY1T4: Child mortality rate (aged 1-4 years),F: Female,_T: Total,2012,1.062837538,UN_IGME,,,D_PER_1000_1: Deaths per 1000 children aged 1,1.013388407,1.114471045,A: Normal value
UNICEF:CME(1.0): Child Mortality,ARE: United Arab Emirates,CME_MRY1T4: Child mortality rate (aged 1-4 years),F: Female,_T: Total,2013,1.049741746,UN_IGME,,,D_PER_1000_1: Deaths per 1000 children aged 1,0.995025854,1.105389655,A: Normal value
UNICEF:CME(1.0): Child Mortality,ARE: United Arab Emirates,CME_MRY1T4: Child mortality rate (aged 1-4 years),F: Female,_T: Total,2014,1.036218044,UN_IGME,,,D_PER_1000_1: Deaths per 1000 children aged 1,0.98088584,1.096008042,A: Normal value
UNICEF:CME(1.0): Child Mortality,ARE: United Arab Emirates,CME_MRY1T4: Child mortality rate (aged 1-4 years),F: Female,_T: Total,2015,1.027289431,UN_IGME,,,D_PER_1000_1: Deaths per 1000 children aged 1,0.963012718,1.09666194,A: Normal value
UNICEF:CME(1.0): Child Mortality,ARE: United Arab Emirates,CME_MRY1T4: Child mortality rate (aged 1-4 years),F: Female,_T: Total,2016,1.019888154,UN_IGME,,,D_PER_1000_1: Deaths per 1000 children aged 1,0.940504536,1.106981777,A: Normal value
UNICEF:CME(1.0): Child Mortality,ARE: United Arab Emirates,CME_MRY1T4: Child mortality rate (aged 1-4 years),F: Female,_T: Total,2017,1.009104484,UN_IGME,,,D_PER_1000_1: Deaths per 1000 children aged 1,0.91101581,1.11575599,A: Normal value
UNICEF:CME(1.0): Child Mortality,ARE: United Arab Emirates,CME_MRY1T4: Child mortality rate (aged 1-4 years),F: Female,_T: Total,2018,0.997686667,UN_IGME,,,D_PER_1000_1: Deaths per 1000 children aged 1,0.878426155,1.130628251,A: Normal value
UNICEF:CME(1.0): Child Mortality,ARE: United Arab Emirates,CME_MRY1T4: Child mortality rate (aged 1-4 years),F: Female,_T: Total,2019,0.982417822,UN_IGME,,,D_PER_1000_1: Deaths per 1000 children aged 1,0.837514611,1.144191476,A: Normal value
UNICEF:CME(1.0): Child Mortality,ARE: United Arab Emirates,CME_MRY1T4: Child mortality rate (aged 1-4 years),M: Male,_T: Total,2009,1.376657335,UN_IGME,,,D_PER_1000_1: Deaths per 1000 children aged 1,1.315843497,1.439747029,A: Normal value
UNICEF:CME(1.0): Child Mortality,ARE: United Arab Emirates,CME_MRY1T4: Child mortality rate (aged 1-4 years),M: Male,_T: Total,2010,1.345134656,UN_IGME,,,D_PER_1000_1: Deaths per 1000 children aged 1,1.290074068,1.40255242,A: Normal value
UNICEF:CME(1.0): Child Mortality,ARE: United Arab Emirates,CME_MRY1T4: Child mortality rate (aged 1-4 years),M: Male,_T: Total,2011,1.315919379,UN_IGME,,,D_PER_1000_1: Deaths per 1000 children aged 1,1.262233378,1.372386763,A: Normal value
UNICEF:CME(1.0): Child Mortality,ARE: United Arab Emirates,CME_MRY1T4: Child mortality rate (aged 1-4 years),M: Male,_T: Total,2012,1.293681398,UN_IGME,,,D_PER_1000_1: Deaths per 1000 children aged 1,1.243022863,1.346924761,A: Normal value
UNICEF:CME(1.0): Child Mortality,ARE: United Arab Emirates,CME_MRY1T4: Child mortality rate (aged 1-4 years),M: Male,_T: Total,2013,1.273111201,UN_IGME,,,D_PER_1000_1: Deaths per 1000 children aged 1,1.215837353,1.330210873,A: Normal value
UNICEF:CME(1.0): Child Mortality,ARE: United Arab Emirates,CME_MRY1T4: Child mortality rate (aged 1-4 years),M: Male,_T: Total,2014,1.258808359,UN_IGME,,,D_PER_1000_1: Deaths per 1000 children aged 1,1.199518233,1.320998634,A: Normal value
